epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.895,1.22323,2.60085,1.42028,0.59423,0.59539,0.59802,0.42663,1.12382,1.95051,1.46851,0.00332859,0.00332859,0.00332859
2,296.008,1.24128,1.95322,1.40835,0.67535,0.56747,0.63675,0.44666,1.24233,1.82311,1.5506,0.006552,0.006552,0.006552
3,420.983,1.3076,1.8964,1.46902,0.61354,0.50402,0.53698,0.35469,1.44582,2.09352,1.74232,0.00966541,0.00966541,0.00966541
4,544.531,1.37612,1.85776,1.52357,0.62245,0.49306,0.54723,0.35544,1.45568,2.08959,1.73878,0.009505,0.009505,0.009505
5,666.996,1.31767,1.70331,1.49425,0.70622,0.66853,0.72586,0.50806,1.30752,1.54975,1.59456,0.00934,0.00934,0.00934
6,789.288,1.29837,1.60857,1.47908,0.72681,0.59728,0.67795,0.48279,1.29061,1.76013,1.60943,0.009175,0.009175,0.009175
7,914.527,1.26406,1.50131,1.45127,0.74654,0.66561,0.74421,0.54673,1.20208,1.47328,1.50664,0.00901,0.00901,0.00901
8,1040.11,1.23349,1.43003,1.42458,0.72621,0.70883,0.75607,0.56142,1.20371,1.42202,1.54386,0.008845,0.008845,0.008845
9,1164.96,1.21059,1.37474,1.41004,0.76445,0.67633,0.76437,0.51849,1.17753,1.35386,1.48055,0.00868,0.00868,0.00868
10,1287.88,1.19642,1.34355,1.40208,0.78371,0.71071,0.79059,0.59073,1.14405,1.28578,1.45662,0.008515,0.008515,0.008515
11,1413.14,1.16705,1.28113,1.37874,0.75667,0.72415,0.77056,0.57887,1.15902,1.42053,1.48581,0.00835,0.00835,0.00835
12,1538.28,1.14872,1.25673,1.37429,0.78917,0.71903,0.79284,0.56063,1.22791,1.28248,1.5043,0.008185,0.008185,0.008185
13,1662.11,1.14765,1.24691,1.37278,0.7768,0.7346,0.80133,0.59804,1.15213,1.25443,1.43089,0.00802,0.00802,0.00802
14,1787.69,1.13329,1.20932,1.36239,0.79428,0.73335,0.80355,0.60853,1.07673,1.19881,1.39905,0.007855,0.007855,0.007855
15,1912.73,1.11889,1.16635,1.34382,0.80295,0.74756,0.8123,0.62038,1.04599,1.10408,1.36787,0.00769,0.00769,0.00769
16,2038.1,1.12141,1.18237,1.35371,0.83932,0.74233,0.82786,0.62192,1.08082,1.13181,1.39691,0.007525,0.007525,0.007525
17,2161.28,1.10502,1.12559,1.33525,0.82299,0.75819,0.8366,0.64339,1.06445,1.0678,1.36906,0.00736,0.00736,0.00736
18,2286.12,1.09935,1.11467,1.33319,0.83003,0.76909,0.83916,0.64966,1.02744,1.04074,1.35004,0.007195,0.007195,0.007195
19,2409.51,1.08838,1.09759,1.32005,0.83829,0.78252,0.84911,0.65126,1.06515,1.00489,1.36093,0.00703,0.00703,0.00703
20,2531.18,1.07824,1.07793,1.31778,0.8316,0.77102,0.84099,0.65474,1.01071,1.00031,1.34018,0.006865,0.006865,0.006865
21,2654.49,1.07001,1.06002,1.31147,0.82008,0.77306,0.84366,0.65681,1.01567,1.03391,1.33387,0.0067,0.0067,0.0067
22,2778.45,1.06888,1.05287,1.30763,0.82509,0.77324,0.838,0.65265,1.00994,1.01638,1.32516,0.006535,0.006535,0.006535
23,2902.11,1.05648,1.02559,1.29809,0.8351,0.7862,0.84459,0.6532,1.00888,1.00768,1.32763,0.00637,0.00637,0.00637
24,3024.97,1.04988,1.01574,1.299,0.83286,0.79315,0.84774,0.66398,1.00159,0.98733,1.3173,0.006205,0.006205,0.006205
25,3147.8,1.03508,0.98507,1.28821,0.86254,0.77085,0.85309,0.66598,0.98642,0.94367,1.31045,0.00604,0.00604,0.00604
26,3271.07,1.04112,0.98948,1.28482,0.85799,0.79242,0.85698,0.66513,1.00919,0.93625,1.32295,0.005875,0.005875,0.005875
27,3394.85,1.02161,0.96634,1.27531,0.84042,0.78103,0.85246,0.66535,0.98948,0.938,1.3041,0.00571,0.00571,0.00571
28,3518.52,1.02725,0.97239,1.27795,0.834,0.80093,0.85821,0.65567,0.98305,0.92445,1.29061,0.005545,0.005545,0.005545
29,3640.07,1.02235,0.956,1.26937,0.8454,0.80253,0.86028,0.68038,0.9563,0.90026,1.28172,0.00538,0.00538,0.00538
30,3764.5,1.00142,0.93984,1.26153,0.83212,0.80155,0.85762,0.67653,0.95503,0.927,1.28681,0.005215,0.005215,0.005215
31,3886.99,1.00198,0.91904,1.25746,0.82298,0.81212,0.86121,0.68009,0.95008,0.915,1.27938,0.00505,0.00505,0.00505
32,4009,0.99032,0.93282,1.2576,0.82851,0.80068,0.86421,0.6811,0.95099,0.89977,1.27805,0.004885,0.004885,0.004885
33,4132.66,0.99841,0.90332,1.25673,0.85537,0.8039,0.86894,0.67869,0.95724,0.88562,1.2737,0.00472,0.00472,0.00472
34,4257.57,0.99396,0.90917,1.25507,0.84409,0.81567,0.86871,0.68866,0.9417,0.87675,1.26483,0.004555,0.004555,0.004555
35,4379.75,0.9877,0.90379,1.25144,0.82476,0.82166,0.8604,0.67645,0.93489,0.91116,1.26057,0.00439,0.00439,0.00439
36,4502.79,0.99073,0.88419,1.25211,0.84728,0.81618,0.86835,0.68615,0.93933,0.87406,1.25927,0.004225,0.004225,0.004225
37,4628.83,0.97035,0.8817,1.23873,0.83723,0.84168,0.87166,0.68774,0.94119,0.8602,1.25533,0.00406,0.00406,0.00406
38,4751.57,0.9604,0.84949,1.23233,0.83907,0.823,0.86378,0.6887,0.92903,0.87583,1.25568,0.003895,0.003895,0.003895
39,4875.47,0.95064,0.83894,1.22977,0.85639,0.80834,0.86416,0.68625,0.95548,0.8737,1.27342,0.00373,0.00373,0.00373
40,5000.24,0.95838,0.85393,1.23095,0.85755,0.82,0.87122,0.69149,0.938,0.85195,1.26527,0.003565,0.003565,0.003565
41,5121.36,0.95618,0.84152,1.22913,0.83227,0.83519,0.87181,0.69666,0.91989,0.85236,1.24693,0.0034,0.0034,0.0034
42,5242.26,0.95906,0.84155,1.23176,0.84714,0.82653,0.87304,0.69753,0.91324,0.83805,1.24102,0.003235,0.003235,0.003235
43,5363.29,0.94512,0.82416,1.22094,0.8349,0.83294,0.87011,0.69019,0.92528,0.85376,1.2482,0.00307,0.00307,0.00307
44,5483.5,0.94293,0.80614,1.21673,0.85,0.82848,0.8716,0.70083,0.92041,0.83833,1.24778,0.002905,0.002905,0.002905
45,5605.33,0.92457,0.79573,1.20992,0.85524,0.82749,0.87206,0.69825,0.90444,0.82965,1.23492,0.00274,0.00274,0.00274
46,5728.63,0.94116,0.8011,1.213,0.85075,0.8337,0.87337,0.70098,0.90984,0.82673,1.24054,0.002575,0.002575,0.002575
47,5851.17,0.92382,0.79118,1.20592,0.85883,0.83213,0.87675,0.70102,0.91049,0.81393,1.24038,0.00241,0.00241,0.00241
48,5974.02,0.9183,0.77545,1.1987,0.85462,0.83986,0.87657,0.69657,0.91586,0.81115,1.24453,0.002245,0.002245,0.002245
49,6098.6,0.91063,0.77623,1.2014,0.85549,0.83686,0.87605,0.70291,0.90645,0.80726,1.24034,0.00208,0.00208,0.00208
50,6223.29,0.91127,0.75902,1.1995,0.86439,0.83191,0.87541,0.70232,0.90683,0.80367,1.24047,0.001915,0.001915,0.001915
51,6342.98,0.86879,0.67736,1.1826,0.86837,0.82353,0.87449,0.69763,0.91354,0.81278,1.24133,0.00175,0.00175,0.00175
52,6463.1,0.85017,0.64361,1.17318,0.86465,0.83153,0.87784,0.70229,0.91004,0.8052,1.24202,0.001585,0.001585,0.001585
53,6582.61,0.83788,0.64536,1.1728,0.85958,0.84049,0.87963,0.70249,0.9083,0.8004,1.24089,0.00142,0.00142,0.00142
54,6699.55,0.83213,0.6381,1.15953,0.85884,0.84442,0.87965,0.70371,0.91109,0.79419,1.23873,0.001255,0.001255,0.001255
55,6820.48,0.81777,0.61135,1.14819,0.87203,0.83286,0.87731,0.70305,0.91034,0.80122,1.24166,0.00109,0.00109,0.00109
56,6937.97,0.82168,0.59993,1.14406,0.86957,0.83042,0.87781,0.70286,0.9077,0.79755,1.24272,0.000925,0.000925,0.000925
57,7057.36,0.80825,0.59695,1.139,0.87714,0.83157,0.8786,0.70215,0.90758,0.79522,1.2414,0.00076,0.00076,0.00076
58,7178.32,0.81127,0.59494,1.14121,0.8799,0.82918,0.87652,0.70277,0.90488,0.79813,1.23891,0.000595,0.000595,0.000595
59,7297.7,0.79525,0.58791,1.13578,0.86991,0.8324,0.87666,0.70346,0.90946,0.79916,1.24208,0.00043,0.00043,0.00043
60,7417.85,0.80111,0.58282,1.13382,0.86909,0.83108,0.87721,0.70397,0.90605,0.79722,1.24034,0.000265,0.000265,0.000265
