epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.151,1.22411,2.60301,1.42454,0.47807,0.53383,0.49307,0.3499,1.18319,2.22194,1.54057,0.00332859,0.00332859,0.00332859
2,250.587,1.23855,1.95711,1.41361,0.52971,0.51801,0.53609,0.36357,1.35844,2.34469,1.76069,0.006552,0.006552,0.006552
3,370.225,1.30969,1.8953,1.47057,0.60462,0.56634,0.58655,0.39396,1.39826,2.04629,1.70589,0.00966541,0.00966541,0.00966541
4,489.79,1.37487,1.86873,1.52337,0.44646,0.52481,0.43487,0.29453,1.38116,2.46919,1.70454,0.009505,0.009505,0.009505
5,609.585,1.31735,1.70781,1.4898,0.70487,0.63684,0.68821,0.47842,1.29411,1.7436,1.59571,0.00934,0.00934,0.00934
6,727.989,1.30297,1.61547,1.48473,0.75608,0.64619,0.73481,0.5215,1.22159,1.52017,1.54652,0.009175,0.009175,0.009175
7,847.469,1.26968,1.51058,1.45493,0.77141,0.66511,0.75184,0.55662,1.18646,1.43129,1.52315,0.00901,0.00901,0.00901
8,967.28,1.23768,1.44517,1.42865,0.72516,0.68703,0.75312,0.56293,1.17541,1.44801,1.50996,0.008845,0.008845,0.008845
9,1087.16,1.21499,1.38254,1.4149,0.7567,0.66652,0.7507,0.52938,1.20861,1.43335,1.52274,0.00868,0.00868,0.00868
10,1207.35,1.19402,1.36282,1.40153,0.75957,0.69403,0.77575,0.57395,1.14213,1.32453,1.45576,0.008515,0.008515,0.008515
11,1327.57,1.17475,1.29352,1.38285,0.80158,0.72632,0.79806,0.60489,1.12904,1.23608,1.44344,0.00835,0.00835,0.00835
12,1446.21,1.15461,1.25932,1.38115,0.76278,0.73156,0.79914,0.59831,1.12981,1.20519,1.45097,0.008185,0.008185,0.008185
13,1565.8,1.14874,1.25196,1.3769,0.7862,0.74244,0.79858,0.60777,1.13071,1.22348,1.43773,0.00802,0.00802,0.00802
14,1685.24,1.13818,1.22225,1.36481,0.79388,0.7365,0.8079,0.61579,1.09339,1.19469,1.41888,0.007855,0.007855,0.007855
15,1803.85,1.12561,1.17646,1.34616,0.80682,0.73752,0.81236,0.63036,1.06088,1.15555,1.38945,0.00769,0.00769,0.00769
16,1923.31,1.12603,1.19315,1.35307,0.82812,0.75042,0.8305,0.62292,1.08285,1.11835,1.39555,0.007525,0.007525,0.007525
17,2043.2,1.11151,1.13952,1.3362,0.82188,0.75646,0.8336,0.64033,1.07369,1.07139,1.38672,0.00736,0.00736,0.00736
18,2162.83,1.10312,1.12515,1.33598,0.81055,0.78208,0.84098,0.65125,1.03216,1.02412,1.34511,0.007195,0.007195,0.007195
19,2282.84,1.09242,1.10657,1.32363,0.82425,0.78941,0.84469,0.64901,1.04953,1.05234,1.35688,0.00703,0.00703,0.00703
20,2401.59,1.08639,1.09181,1.3239,0.83067,0.76797,0.84118,0.65602,1.02291,1.02324,1.35368,0.006865,0.006865,0.006865
21,2521.01,1.07464,1.06672,1.31445,0.81549,0.77942,0.84359,0.65607,1.01602,1.02579,1.33309,0.0067,0.0067,0.0067
22,2640.83,1.07699,1.0722,1.31256,0.81412,0.78285,0.83918,0.64895,1.04086,1.02642,1.35288,0.006535,0.006535,0.006535
23,2760.09,1.06772,1.03643,1.30394,0.84627,0.77709,0.85206,0.66645,1.00753,0.97787,1.321,0.00637,0.00637,0.00637
24,2879.45,1.05859,1.02837,1.30361,0.8291,0.79968,0.85072,0.67136,1.00459,0.9756,1.31659,0.006205,0.006205,0.006205
25,2998.53,1.03931,1.00155,1.29315,0.83244,0.79499,0.85897,0.67064,1.00011,0.94931,1.3245,0.00604,0.00604,0.00604
26,3118.11,1.04722,1.00879,1.29392,0.83663,0.79897,0.85891,0.66461,1.01112,0.96145,1.31404,0.005875,0.005875,0.005875
27,3237.64,1.02791,0.9776,1.27873,0.82967,0.80827,0.86083,0.68037,0.97713,0.92882,1.29676,0.00571,0.00571,0.00571
